Scrape Date (YYYY-MM-DD hh:mm);City;Provider;Location Name;Name of Apartment;Additional info Apartment name;Room Category;Address;Size;Rent (in Ä/All-In);Booking/Rate Type;Other info;Data Comment
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1379;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;26;1589;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;26;1589;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;26;1589;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;26;1589;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;26;1589;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1699;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1709;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1719;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1729;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1729;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1729;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1729;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1729;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1739;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1739;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1739;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1739;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1739;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;27;1779;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1799;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1799;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1799;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1799;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;29;1799;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Standard;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;30;1829;;;
